gene,pValue,fdr,logFoldChange
ENSG00000007080,0.212589230140119,0.7659607805804752,-0.06093781053289615
ENSG00000007129,0.8152100980744602,0.950935878656287,0.001952330894616175
ENSG00000007168,0.006919356591263413,0.16948514407583348,0.20559603243889024
ENSG00000007171,0.04745604190260667,0.4030277564520102,0.18226930420918042
ENSG00000007174,0.8152100980744602,0.950935878656287,0.006913602889007999
ENSG00000007202,0.5331199127699472,0.893094114620783,0.03284405276982612
ENSG00000007216,0.5974913149578003,0.893094114620783,0.03846501363336108
ENSG00000007237,0.5274635401923757,0.893094114620783,0.02930576878058229
ENSG00000007255,0.043709137248976696,0.3899554755354021,-0.12198285061698844
ENSG00000007264,0.6841282016702166,0.8994609746684639,-0.0111211616092761
ENSG00000007306,0.29493025995299627,0.857132418572339,0.1617111265642302
ENSG00000007312,0.0011705007027267783,0.07117399434322508,-0.16209717117815386
ENSG00000007314,0.7226697427551281,0.9136900847787635,-0.011921136052498204
ENSG00000007341,0.8966938798436479,0.979100467451301,0.0008054774900479641
ENSG00000007350,0.00639872525235525,0.16063505113831028,0.08994928200630656
ENSG00000007372,0.5736832733038886,0.893094114620783,0.04261306074107148
ENSG00000007376,0.12549798020318098,0.6114817859866163,-0.05700600661874609
ENSG00000007384,0.26415914504805493,0.8248789782165385,-0.049664521609894124
ENSG00000007392,0.0022461029692154248,0.09652993820712273,-0.11840519404205513
ENSG00000007402,0.00021895323213080715,0.03112366353780703,0.09638240427829306
ENSG00000007516,0.00047041386465787474,0.04614206584217683,-0.17220942920878074
ENSG00000007520,0.12549798020318098,0.6114817859866163,-0.078907881137315
ENSG00000007541,0.024968797118528306,0.3000338689228921,-0.06539689000311263
ENSG00000007545,0.036191061150574334,0.3602074050007232,0.08763547022389256
ENSG00000007866,0.04745604190260667,0.4030277564520102,0.12437049458999364
ENSG00000007908,0.09142931398953878,0.5335017372835066,-0.15605637203397676
ENSG00000007923,0.494089943903643,0.893094114620783,0.047979569513360985
ENSG00000007933,0.9654786243041334,0.99669799644512,-0.015833333750154756
ENSG00000007944,0.048411373182827844,0.4100815227274851,-0.1782851680939411
ENSG00000007952,0.06274073974493227,0.4542626539147526,0.08397131120250649
ENSG00000007968,0.8557597204883555,0.9662090856994363,-0.011502955666186898
ENSG00000008018,0.24962518367392916,0.8071363322513354,-0.06363772748868074
ENSG00000008056,0.007874121014511395,0.1784808226676579,0.2207059470073235
ENSG00000008083,0.005460166938195188,0.1501113111004771,0.30741266457558886
ENSG00000008086,0.11921035452354797,0.6012145843420416,0.016479977363601926
ENSG00000008118,0.019886164190589344,0.2703030413054032,0.22702355203444927
ENSG00000008128,0.17141772546385659,0.7038024219557536,0.11546265831488378
ENSG00000008130,0.12764060698909135,0.6207356720148128,-0.09693029428581458
ENSG00000008196,0.3543502592014047,0.893094114620783,-0.0726263565892407
ENSG00000008197,0.9930936556061889,1.0,-0.006673128953018325
ENSG00000008226,0.29493025995299627,0.857132418572339,0.028906413738669784
ENSG00000008256,0.0031605932491507406,0.11315237020390616,0.14523258008755924
ENSG00000008277,1.0,1.0,0.012806437570275934
ENSG00000008282,0.768523223011512,0.9348673059844486,-0.01167313960611117
ENSG00000008283,0.12549077572003112,0.6114817859866163,-0.03461299839272182
ENSG00000008294,0.002518174926158947,0.10163586316043634,0.2357028956383393
ENSG00000008300,0.04745604190260667,0.4030277564520102,0.0656698480409842
ENSG00000008311,0.3543502592014047,0.893094114620783,-0.03847275026335402
ENSG00000008323,0.00639872525235525,0.16063505113831028,0.1628216126205782
ENSG00000008324,0.04281342677223695,0.38864659081037123,-0.05337762012780123
ENSG00000008382,0.591490254056673,0.893094114620783,-0.035603105540757136
ENSG00000008394,0.36341750981729803,0.893094114620783,0.04135433911958436
ENSG00000008405,0.29493025995299627,0.857132418572339,0.11945430568040409
ENSG00000008438,0.19119742867491685,0.7298260715091583,-0.20023103292047376
ENSG00000008441,0.10366377761984981,0.5677543050415095,0.0388010293100928
ENSG00000008513,0.8354240416477965,0.9611058855641068,0.018617715988741325
ENSG00000008516,0.8286773856754452,0.956123803916301,0.0028034948320737824
ENSG00000008517,0.051464806469673635,0.4166679149379459,-0.2406440215661253
ENSG00000008710,0.7951046708823761,0.9464433293914813,-0.007796093802781057
ENSG00000008735,0.051460361543493684,0.4166679149379459,-0.0833209993107718
ENSG00000008838,0.24257593850719306,0.7981535283776139,-0.04667267675690588
ENSG00000008853,2.3085273762016345e-05,0.010109717615678977,-0.19092362327780948
ENSG00000008869,0.2870028265222885,0.8487112294362847,-0.06973288980077752
ENSG00000008952,0.420810119045971,0.893094114620783,0.04164820376093705
ENSG00000008988,0.45096146039252727,0.893094114620783,-0.01075569081319107
ENSG00000009307,0.3152718458927396,0.8800067598727227,0.03947005593244847
ENSG00000009335,0.5855239587122885,0.893094114620783,-0.013838528077619153
ENSG00000009413,0.3543502592014047,0.893094114620783,-0.03079245103136418
ENSG00000009694,0.7751495771082679,0.9348673059844486,0.04222982720899557
ENSG00000009709,0.6217385671728759,0.893094114620783,0.03435041880483771
ENSG00000009724,0.34542722966430206,0.893094114620783,0.04984350867524975
ENSG00000009765,0.209439034922428,0.756244637216779,0.07238860129159287
ENSG00000009780,0.03322129091921307,0.34514954895817934,0.04777318236384083
ENSG00000009790,0.0003996093109305118,0.04155753492235515,-0.2887164874859596
ENSG00000009830,0.16343713775267155,0.6846861636164919,0.031389182843701506
ENSG00000009844,0.04022268332418644,0.37381659925404137,0.0682189743483139
ENSG00000009950,0.2568253980212012,0.8152485818721026,0.022106588754540836
ENSG00000009954,0.1796868475815011,0.7132694785344427,0.05666954828908512
ENSG00000010017,0.1320260972254431,0.6300063434201435,0.04004703070019726
ENSG00000010030,0.005758221002943519,0.15400843404232958,-0.04958029808355203
ENSG00000010072,0.0005526516599300093,0.0496312870774244,0.08056221631487473
ENSG00000010165,0.696893943099878,0.9020940764665814,0.017363189029188462
ENSG00000010219,0.7751495771082679,0.9348673059844486,-0.0007371016628842305
ENSG00000010244,0.24960713455820438,0.8071363322513354,-0.04831762596356708
ENSG00000010256,0.18825760321209373,0.7298260715091583,-0.1009807910529804
ENSG00000010270,0.1388296069611406,0.6391587140066105,0.03256204496818943
ENSG00000010278,0.7619222882235865,0.9300656250790774,-0.056179144658444535
ENSG00000010282,0.11717949551581684,0.5932177753489303,-0.1552844289931805
ENSG00000010292,0.08497364290293385,0.5174929467701499,-0.07066785821342869
ENSG00000010295,0.12128296055023632,0.6012145843420416,-0.07647881724479626
ENSG00000010310,0.03467212844724277,0.3532681982854292,-0.04639399016131756
ENSG00000010318,0.9447916296415703,0.992812235820995,0.006449689520140984
ENSG00000010319,0.7751495771082679,0.9348673059844486,0.029599028426321575
ENSG00000010322,0.9035442752700515,0.9822230024147954,0.005280827665544671
ENSG00000010327,0.8966919219662346,0.979100467451301,-0.03444352880215574
ENSG00000010361,0.008289189293695329,0.18150394031725303,-0.06301110478232722
ENSG00000010379,0.8017971870653839,0.9464433293914813,-0.0008738514635446589
ENSG00000010404,0.8693620392376309,0.970302617151989,-0.07049775463561615
ENSG00000010438,0.6095613493008174,0.893094114620783,0.09643234614354665
ENSG00000010539,0.910405520748208,0.9822230024147954,0.00962590599595017
ENSG00000010610,0.591490254056673,0.893094114620783,-0.056682644504427684
ENSG00000010626,0.14830631229145302,0.6572442164362614,-0.035536291796993344
ENSG00000010671,0.00639872525235525,0.16063505113831028,-0.17705384138766164
ENSG00000010704,0.646403549318713,0.893094114620783,-0.020571270517871224
ENSG00000010803,0.5855239587122885,0.893094114620783,-0.014361403868110599
ENSG00000010810,0.2001579695952893,0.747243971668956,0.15233233123295076
ENSG00000010818,0.9241424566255172,0.9855428419861251,0.0467132728857438
ENSG00000010932,0.5050874800546858,0.893094114620783,0.05982617687737441
ENSG00000011007,0.1853845565057498,0.7223932632848088,0.03176638052113501
ENSG00000011009,0.29493025995299627,0.857132418572339,-0.029869519339119837
ENSG00000011021,0.2222807962491984,0.7740549334444976,0.05303182774752173
ENSG00000011028,0.7751495771082679,0.9348673059844486,0.001369853197924534
ENSG00000011052,0.7619222882235865,0.9300656250790774,0.009082700165280556
ENSG00000011083,0.0021198048748789985,0.09379814104284591,-0.2237826416381887
ENSG00000011105,0.0005706574176233912,0.05102446080645177,-0.1456452899715732
ENSG00000011114,0.008289189293695329,0.18150394031725303,0.08304610848732533
ENSG00000011132,0.0010356490306123315,0.06683112704175435,-0.10728661592334549
ENSG00000011143,0.646403549318713,0.893094114620783,-0.0030524732388431315
ENSG00000011198,0.005460166938195188,0.1501113111004771,0.0919539944777916
ENSG00000011201,0.0006283065776531868,0.052893653736221194,0.4567388947247976
ENSG00000011243,0.4410585717501967,0.893094114620783,0.023294385677163517
ENSG00000011258,0.9654786243041334,0.99669799644512,0.024820132401711707
ENSG00000011260,0.007875304203972543,0.1784808226676579,-0.10214328761220501
ENSG00000011275,0.10739062256539733,0.5766559872829826,0.21083826793027988
ENSG00000011295,0.5388381845957019,0.893094114620783,0.020043011676004387
ENSG00000011304,0.40111871445160496,0.893094114620783,-0.05686049189635266
ENSG00000011332,0.8017971870653839,0.9464433293914813,-0.0004644375200733501
ENSG00000011347,0.6095613493008174,0.893094114620783,0.007374798165463712
ENSG00000011376,0.02915863145848239,0.32413049319517573,0.044678623538176324
ENSG00000011405,0.02610989811320674,0.30528442090023683,0.2277084576424321
ENSG00000011422,0.924143898007241,0.9855428419861251,0.04185142618689769
ENSG00000011426,0.3280150916306126,0.8872656786651615,0.034458895131710084
ENSG00000011451,0.8152100980744602,0.950935878656287,-0.0016891578707000014
ENSG00000011454,0.22555100872396672,0.7832334888535767,0.07511446223870295
ENSG00000011465,0.8830130239304063,0.9739989734767273,-0.004606475118299423
ENSG00000011478,0.6095613493008174,0.893094114620783,0.02213255038450019
ENSG00000011485,0.06649212849993373,0.469200232928813,-0.05370079813335331
ENSG00000011523,0.3195263848210449,0.8800067598727227,0.07217501674570116
ENSG00000011566,0.00148948063292233,0.08011964372251565,0.15377793174883722
ENSG00000011590,0.04745604190260667,0.4030277564520102,-0.11420291418653282
ENSG00000011600,0.8286741710808327,0.956123803916301,-0.07655385572694016
ENSG00000011638,0.022815572002900245,0.2861351241497657,-0.04640010051600624
ENSG00000011677,0.646403549318713,0.893094114620783,-0.0005580528881532851
ENSG00000012048,0.5274556701949242,0.893094114620783,-0.020301133769454277
ENSG00000012061,0.5974913149578003,0.893094114620783,-0.04195313199773887
ENSG00000012124,0.0008085714034425922,0.05971995433774034,-0.40545371275148745
ENSG00000012171,0.7356788423848883,0.9197576622526338,-0.010465991066786202
ENSG00000012174,0.012978970844572597,0.2216829277755012,0.06875043178456382
ENSG00000012211,0.9516845509972259,0.992812235820995,-0.0020557771720760474
ENSG00000012223,0.26415914504805493,0.8248789782165385,-0.13790574873685643
ENSG00000012232,5.981281939140281e-06,0.004395228448668252,0.16870956086389552
ENSG00000012504,0.1741527478431859,0.7038024219557536,0.09367075780732256
ENSG00000012660,0.24256696049825288,0.7981535283776139,-0.05323900193622606
ENSG00000012779,0.287021198154649,0.8487112294362847,-0.10640836662247359
ENSG00000012817,3.116713413595174e-10,9.651793574744198e-07,2.183548587811076
ENSG00000012822,0.024968797118528306,0.3000338689228921,-0.13248429949416018
ENSG00000012963,0.008721149604887615,0.18564600689589625,0.07854467837374576
ENSG00000012983,0.00965007342344554,0.19396334412307897,0.1330584404892286
ENSG00000013016,0.01362734791543524,0.2261054989949081,-0.09489418104065227
ENSG00000013275,1.0,1.0,0.01462366096593824
ENSG00000013288,0.3962635698840772,0.893094114620783,-0.04947206136592932
ENSG00000013293,0.6217385671728759,0.893094114620783,-0.06344410049129959
ENSG00000013297,0.4724848263318584,0.893094114620783,-0.028668902273295487
ENSG00000013306,0.2001579695952893,0.747243971668956,-0.07033807734962509
ENSG00000013364,0.0003996093109305118,0.04155753492235515,-0.2234295314668981
ENSG00000013374,0.0023783474395130495,0.09901412749044958,0.09750856477498082
ENSG00000013375,0.7817839852350208,0.940771207195822,0.05363952051835072
ENSG00000013392,0.696888452489825,0.9020940764665814,-0.0045786869257410726
ENSG00000013441,0.032479235147054794,0.3388735852823922,-0.09978917726170376
ENSG00000013503,0.4410759861951786,0.893094114620783,0.015415163061038297
ENSG00000013523,0.8693669741268368,0.970302617151989,0.019034884349847046
ENSG00000013561,0.10739062256539733,0.5766559872829826,0.052543481235236375
ENSG00000013563,0.5388304471811783,0.893094114620783,-0.004651641823332638
ENSG00000013573,0.0016773984300695191,0.08378295960329955,-0.18606861134379837
