Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000118194	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000118369	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000128596	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000138834	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000141295	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000142233	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000142303	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000161328	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000162066	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000166143	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000166813	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000168096	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000175711	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000183763	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000187961	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000197119	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000213653	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000228109	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000258498	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000260442	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000272141	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000273474	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000100142	0.02358857584668104	1.32320096526564e-4	0.025176501523554745	0.9651446404749653	NA	NA
ENSG00000164047	0.02358163739413525	1.323111776646589e-4	0.025176501434937836	0.9651446404749652	NA	NA
ENSG00000125503	0.023560101450999356	1.3228350872539527e-4	0.025176501160008562	0.9651446404749652	NA	NA
ENSG00000107105	0.02349663295429226	1.3220183602693844e-4	0.025176500348882566	0.9651446404749653	NA	NA
ENSG00000109832	0.02349663295429226	1.3220183602693844e-4	0.025176500348882566	0.9651446404749653	NA	NA
ENSG00000166349	0.02349663295429226	1.3220183602693844e-4	0.025176500348882566	0.9651446404749653	NA	NA
ENSG00000182676	0.02349663295429226	1.3220183602693844e-4	0.025176500348882566	0.9651446404749653	NA	NA
ENSG00000235725	0.02349663295429226	1.3220183602693844e-4	0.025176500348882566	0.9651446404749653	NA	NA
ENSG00000235994	0.02349663295429226	1.3220183602693844e-4	0.025176500348882566	0.9651446404749653	NA	NA
ENSG00000238198	0.02349663295429226	1.3220183602693844e-4	0.025176500348882566	0.9651446404749653	NA	NA
ENSG00000261498	0.02349663295429226	1.3220183602693844e-4	0.025176500348882566	0.9651446404749653	NA	NA
ENSG00000267213	0.02349663295429226	1.3220183602693844e-4	0.025176500348882566	0.9651446404749653	NA	NA
ENSG00000125207	0.02349663295429226	1.3220183602693822e-4	0.025176500348882566	0.9651446404749653	NA	NA
ENSG00000182612	0.02349663295429226	1.3220183602693822e-4	0.025176500348882566	0.9651446404749652	NA	NA
ENSG00000153012	0.02349663295429226	1.3220183602693817e-4	0.025176500348882566	0.9651446404749652	NA	NA
ENSG00000179593	2.717234833003746	1.3205652636779389e-4	0.02509240129566168	0.9490335804175323	NA	NA
ENSG00000213088	5.616966182483199	1.320417816570585e-4	0.024751685722357704	0.9837160055685763	0.996934674915624	FALSE
ENSG00000071859	2.116405349111861	1.318539639967841e-4	0.025010564982655605	0.9635249696860001	NA	NA
ENSG00000157152	0.023172391531903994	1.3177921017492241e-4	0.025176496179547765	0.9651446404749653	NA	NA
ENSG00000133101	0.023172391531903994	1.317792101749224e-4	0.025176496179547765	0.9651446404749653	NA	NA
ENSG00000162755	0.023172391531903994	1.317792101749224e-4	0.025176496179547765	0.9651446404749653	NA	NA
ENSG00000177738	0.023172391531903994	1.317792101749224e-4	0.025176496179547765	0.9651446404749653	NA	NA
ENSG00000163576	0.023172391531903994	1.3177921017492233e-4	0.025176496179547765	0.9651446404749653	NA	NA
ENSG00000165443	0.023172391531903994	1.3177921017492233e-4	0.025176496179547765	0.9651446404749653	NA	NA
ENSG00000178917	0.023172391531903994	1.3177921017492233e-4	0.025176496179547765	0.9651446404749652	NA	NA
ENSG00000203710	0.023172391531903994	1.3177921017492233e-4	0.025176496179547765	0.9651446404749652	NA	NA
ENSG00000173357	0.023172391531903994	1.317792101749223e-4	0.025176496179547765	0.9651446404749653	NA	NA
ENSG00000247134	0.023172391531903994	1.317792101749223e-4	0.025176496179547765	0.9651446404749653	NA	NA
